time, id1, id2, amount, message
11/2/2016 9:40,32639,2562,23.74, 🦄 
11/2/2016 9:48,32639,6289,37.1, Pitcher 
11/2/2016 9:53,32639,15138,18.68, 🚕 
11/2/2016 10:18,32639,45140,20.92, For your wife. 
11/2/2016 10:20,32639,1816,39.09, 🍺🍺🍺🏌🏌🏌 
11/2/2016 11:05,32639,8552,21.74, 🚗🌃 
11/2/2016 11:10,52349,32639,36.92, Best hair stylist on the west coast... And rent 
11/2/2016 11:16,2562,32639,32.07, Juice
11/2/2016 11:28,6289,32639,35.07, Fruit 
11/2/2016 11:30,15138,32639,42.07, Jam
11/2/2016 11:32,45140,32639,3.19, Milk
11/2/2016 11:45,1816,32639,6.19, Organic Milk
